id,pop,lat,lon,year,sex,age,svl,weight,species
AA24013,Tuggeranong,-35.43937065,149.0528141,2006,M,A,75.1,4.88,Tympanocryptis lineata
AA24202,Tuggeranong,-35.45064592,149.043168,2009,M,A,74.3,5.56,Tympanocryptis lineata
AA24157,Tuggeranong,-35.43774765,149.049278,2008,J,SA,39.8,3.1,Tympanocryptis lineata
AA24203,Tuggeranong,-35.43719221,149.0311749,2009,F,SA,39.5,4.17,Tympanocryptis lineata
AA24014,Royalla,-35.51704812,149.1600047,2006,F?,NA,NA,NA,Tympanocryptis lineata
AA24269,Tuggeranong,-35.42704261,149.0563509,2010,M,,NA,NA,Tympanocryptis lineata
AA24015,Tuggeranong,-35.44062356,149.0576482,2006,M,SA,47.1,4.04,Tympanocryptis lineata
AA24337,Gundaroo,-35.32470184,149.3341488,2013,U,J,29.4,2.64,Tympanocryptis lineata
AA24338,Royalla,-35.49829846,149.1993963,2013,F,U,NA,NA,Tympanocryptis lineata
AA24339,Royalla,-35.5123259,149.1757828,2013,M,A,67.4,6.07,Tympanocryptis lineata
AA24429,Royalla,-35.51044029,149.1859006,2016,,A,75.7,5.96,Tympanocryptis lineata
AA24430,Royalla,-35.48909902,149.1767748,2016,,SA,43.4,4.49,Tympanocryptis lineata
AA24431,Gundaroo,-35.33041197,149.3351209,2016,M,A,52.7,6.38,Tympanocryptis lineata
AA24204,Tuggeranong,-35.44590425,149.0404607,2009,F,A,63.2,5.97,Tympanocryptis lineata
AA24158,Tuggeranong,-35.42664568,149.0472919,2008,M?,SA,41.9,3.56,Tympanocryptis lineata
AA24432,Gundaroo,-35.32491617,149.3324386,2016,M,A,79.1,5.65,Tympanocryptis lineata
AA24016,Royalla,-35.51161455,149.1811385,2006,F?,NA,NA,NA,Tympanocryptis lineata
AA24270,Tuggeranong,-35.43029108,149.0191246,2010,M,,NA,NA,Tympanocryptis lineata
AA24433,Royalla,-35.51964274,149.1608112,2016,,A,48.9,5.85,Tympanocryptis lineata
AA24340,Gundaroo,-35.32460587,149.3539374,2013,U,J,34.2,2.37,Tympanocryptis lineata
AA24355,Tuggeranong,-35.43525074,149.0320634,2014,U,SA,40.8,4.61,Tympanocryptis lineata
AA24434,Gundaroo,-35.3254697,149.3352842,2016,M,A,82.8,5.25,Tympanocryptis lineata
AA24435,Royalla,-35.5027029,149.1838706,2016,,J,28,3.12,Tympanocryptis lineata
AA24436,Royalla,-35.49510601,149.1777795,2016,,J,37.3,1.94,Tympanocryptis lineata
AA24122,Tuggeranong,-35.45647982,149.0556475,2007,M,A,48.2,6.31,Tympanocryptis lineata
AA24159,Tuggeranong,-35.42645633,149.048873,2008,J,J,33.8,3.78,Tympanocryptis lineata
AA24160,Tuggeranong,-35.44269546,149.0453295,2008,J,SA,45.5,4.47,Tympanocryptis lineata
AA24017,Royalla,-35.49535276,149.1812118,2006,M?,NA,NA,NA,Tympanocryptis lineata
AA24018,Royalla,-35.52090789,149.1928949,2006,F?,NA,NA,NA,Tympanocryptis lineata
AA24286,Royalla,-35.49734068,149.1803535,2011,M,A,56.6,5.32,Tympanocryptis lineata
AA24437,Royalla,-35.51287684,149.1827019,2016,,J,36.8,3.3,Tympanocryptis lineata
AA24356,Royalla,-35.51042568,149.1861436,2014,u,J,34.5,2.98,Tympanocryptis lineata
AA24341,Royalla,-35.49705597,149.1955535,2013,M,A,55.2,4.92,Tympanocryptis lineata
AA24438,Tuggeranong,-35.45546494,149.0595785,2016,M,A,57.6,5.26,Tympanocryptis lineata
AA24439,Royalla,-35.49468961,149.1772414,2016,F,SA,39.2,4.64,Tympanocryptis lineata
AA24501,Gundaroo,-35.3345856,149.3399363,2017,U,J,20.2,2.34,Tympanocryptis lineata
AA24123,Gundaroo,-35.30739157,149.3272352,2007,F,A,78.5,5.56,Tympanocryptis lineata
AA24161,Tuggeranong,-35.44813745,149.0431518,2008,J,J,31.7,3.67,Tympanocryptis lineata
AA24205,Tuggeranong,-35.45611374,149.0356956,2009,J,J,30.7,3.48,Tympanocryptis lineata
AA24019,Royalla,-35.48894391,149.1725413,2006,U,NA,NA,NA,Tympanocryptis lineata
AA24206,Gundaroo,-35.31537831,149.3301252,2009,M,A,73.4,5.37,Tympanocryptis lineata
AA24287,Gundaroo,-35.32323755,149.3510814,2011,F?,SA,44,3.93,Tympanocryptis lineata
AA24440,Royalla,-35.50825088,149.1850971,2016,M,SA,38.9,3.41,Tympanocryptis lineata
AA24357,Tuggeranong,-35.44666937,149.0305682,2014,U,J,20.7,4.05,Tympanocryptis lineata
AA24342,Royalla,-35.50563273,149.175414,2013,M,A,56.4,5.2,Tympanocryptis lineata
AA24441,Royalla,-35.48905018,149.1863333,2016,U,J,30.6,2.28,Tympanocryptis lineata
AA24442,Royalla,-35.49988181,149.1596209,2016,,SA,41.5,3.74,Tympanocryptis lineata
AA24502,Gundaroo,-35.32386633,149.3585951,2017,U,J,20.3,2.5,Tympanocryptis lineata
AA24124,Tuggeranong,-35.4447281,149.0352417,2007,M,A,63.8,5.06,Tympanocryptis lineata
AA24162,Tuggeranong,-35.46667873,149.031725,2008,J,J,35.5,3.03,Tympanocryptis lineata
AA24207,Tuggeranong,-35.44165228,149.0525714,2009,J,J,25.5,2.85,Tympanocryptis lineata
AA24020,Royalla,-35.51396707,149.1425633,2006,F?,NA,NA,NA,Tympanocryptis lineata
AA24271,Royalla,-35.50207296,149.1583994,2010,J,J,24.2,2.98,Tympanocryptis lineata
AA24288,Royalla,-35.51602397,149.1828678,2011,M,J,27.4,1.94,Tympanocryptis lineata
AA24443,Royalla,-35.50424232,149.1749032,2016,F,SA,44.4,4.52,Tympanocryptis lineata
AA24358,Tuggeranong,-35.44460246,149.0588543,2014,U,J,33.3,3.32,Tympanocryptis lineata
AA24359,Royalla,-35.4916797,149.1822838,2014,u,J,21.4,2.29,Tympanocryptis lineata
AA24444,Royalla,-35.51642439,149.1799962,2016,,SA,46.9,3.83,Tympanocryptis lineata
AA24503,Gundaroo,-35.33863348,149.3472889,2017,U,J,29.9,3.44,Tympanocryptis lineata
AA24125,Tuggeranong,-35.4296723,149.0572521,2007,J,J,26.5,3.03,Tympanocryptis lineata
AA24163,Tuggeranong,-35.44913492,149.0372264,2008,M,A,72.9,5.8,Tympanocryptis lineata
AA24208,Tuggeranong,-35.43647206,149.0537584,2009,J,SA,40.6,4.62,Tympanocryptis lineata
AA24021,Royalla,-35.50330099,149.1839528,2006,F?,NA,NA,NA,Tympanocryptis lineata
AA24272,Royalla,-35.4771667,149.1715955,2010,J,J,24.5,3.06,Tympanocryptis lineata
AA24296,Royalla,-35.49696472,149.1719976,2012,U,,NA,NA,Tympanocryptis lineata
AA24445,Royalla,-35.5052905,149.1850916,2016,U,SA,39.3,4.45,Tympanocryptis lineata
AA24360,Tuggeranong,-35.42475695,149.0303162,2014,F,A,52.6,5.62,Tympanocryptis lineata
AA24343,Royalla,-35.50034597,149.1823464,2013,u,J,31.3,3.27,Tympanocryptis lineata
AA24446,Royalla,-35.49558805,149.180469,2016,,SA,41.2,3.95,Tympanocryptis lineata
AA24504,Tuggeranong,-35.43996647,149.0420773,2017,F,A,75,5.56,Tympanocryptis lineata
AA24126,Tuggeranong,-35.42040656,149.036526,2007,M,SA,42.5,4,Tympanocryptis lineata
AA24164,Tuggeranong,-35.45133442,149.0435031,2008,M,SA,45.7,4.31,Tympanocryptis lineata
AA24209,Tuggeranong,-35.43553532,149.0325565,2009,M,A,59.2,5.53,Tympanocryptis lineata
AA24022,Royalla,-35.50140579,149.1872958,2006,M?,NA,NA,NA,Tympanocryptis lineata
AA24273,Tuggeranong,-35.44617108,149.0400435,2010,J,,NA,NA,Tympanocryptis lineata
AA24289,Royalla,-35.51762443,149.1740684,2011,J,J,23.2,3.01,Tympanocryptis lineata
AA24509,Gundaroo,-35.31790909,149.3217311,2018,U,J,26.7,3.4,Tympanocryptis lineata
AA24510,Royalla,-35.50053515,149.17153,2018,,SA,47.4,4.6,Tympanocryptis lineata
AA24559,Googong,-35.43146661,149.2221085,2020,M,A,49.5,5.36,Tympanocryptis lineata
AA24511,Gundaroo,-35.3316085,149.3223137,2018,U,A,61.3,6.34,Tympanocryptis lineata
AA24512,Googong,-35.45569433,149.2358642,2018,,SA,47.1,4.83,Tympanocryptis lineata
AA24513,Royalla,-35.50006391,149.1808396,2018,,SA,47.5,4.37,Tympanocryptis lineata
AA24447,Gundaroo,-35.32566126,149.3479016,2016,u,SA,42.6,4.96,Tympanocryptis lineata
AA24560,Royalla,-35.52834802,149.1846702,2020,M,A,54,6.15,Tympanocryptis lineata
AA24448,Gundaroo,-35.32291635,149.3662963,2016,u,J,21.3,2.42,Tympanocryptis lineata
AA24514,Royalla,-35.47595375,149.173253,2018,,A,70.7,4.68,Tympanocryptis lineata
AA24561,Royalla,-35.4997826,149.1795454,2020,F?,SA,41.3,3.69,Tympanocryptis lineata
AA24449,Gundaroo,-35.32223215,149.3426808,2016,u,SA,44.5,3.36,Tympanocryptis lineata
AA24515,Gundaroo,-35.30173293,149.3557485,2018,U,SA,40.5,4.31,Tympanocryptis lineata
AA24562,Googong,-35.43833463,149.2249959,2020,M,A,73.2,4.93,Tympanocryptis lineata
AA24563,Googong,-35.42634063,149.2186347,2020,M,SA,47.5,4.08,Tympanocryptis lineata
AA24165,Tuggeranong,-35.43921693,149.0387228,2008,J,J,21,3.14,Tympanocryptis lineata
AA24210,Tuggeranong,-35.43731966,149.0442364,2009,J,J,37.8,1.94,Tympanocryptis lineata
AA24450,Gundaroo,-35.33161228,149.3376592,2016,F,A,78,5.82,Tympanocryptis lineata
AA24166,Tuggeranong,-35.44069759,149.0449541,2008,J,J,31,3.66,Tympanocryptis lineata
AA24451,Gundaroo,-35.31850453,149.3374011,2016,M,A,65.8,5.51,Tympanocryptis lineata
AA24127,Tuggeranong,-35.44497854,149.0298674,2007,M,SA,42.5,4.41,Tympanocryptis lineata
AA24167,Gundaroo,-35.31251584,149.3497678,2008,NA,J,24.2,3.25,Tympanocryptis lineata
AA24564,Googong,-35.43157289,149.2205538,2020,M,A,84.4,5.79,Tympanocryptis lineata
AA24211,Tuggeranong,-35.42468439,149.0269032,2009,M,SA,44.7,3.61,Tympanocryptis lineata
AA24023,Tuggeranong,-35.44582571,149.0505021,2006,M,SA,43.9,4.29,Tympanocryptis lineata
AA24274,Gundaroo,-35.31592391,149.3238657,2010,M?,SA,46.4,3.9,Tympanocryptis lineata
AA24024,Tuggeranong,-35.4607348,149.0271759,2006,M,A,56.4,5.25,Tympanocryptis lineata
AA24452,Gundaroo,-35.33018336,149.3435576,2016,M,A,66.6,4.53,Tympanocryptis lineata
AA24344,Gundaroo,-35.33679701,149.3337605,2013,M,J,25.7,3.59,Tympanocryptis lineata
AA24168,Tuggeranong,-35.44071696,149.0531795,2008,J,SA,44.4,4,Tympanocryptis lineata
AA24128,Tuggeranong,-35.44934411,149.0279543,2007,J,J,27.6,3.22,Tympanocryptis lineata
AA24169,Tuggeranong,-35.45187736,149.0472942,2008,J,J,20.5,2.47,Tympanocryptis lineata
AA24170,Tuggeranong,-35.45414883,149.0412518,2008,J,J,28.1,2.37,Tympanocryptis lineata
AA24129,Gundaroo,-35.31989645,149.3327352,2007,M,A,64.5,6.68,Tympanocryptis lineata
AA24171,Tuggeranong,-35.453577,149.0462391,2008,F,A,62.1,4.78,Tympanocryptis lineata
AA24212,Gundaroo,-35.3437592,149.3382959,2009,M,SA,38.6,3.54,Tympanocryptis lineata
AA24453,Gundaroo,-35.31569795,149.3421644,2016,M,SA,43.4,3.86,Tympanocryptis lineata
AA24454,Gundaroo,-35.30503811,149.3303837,2016,u,J,29.4,2.87,Tympanocryptis lineata
AA24213,Gundaroo,-35.34454784,149.3300624,2009,M,NA,NA,NA,Tympanocryptis lineata
AA24275,Gundaroo,-35.33164687,149.336297,2010,NA,J,35.9,2.43,Tympanocryptis lineata
AA24455,Gundaroo,-35.33228916,149.3401812,2016,u,J,32,3.72,Tympanocryptis lineata
AA24172,Tuggeranong,-35.43709741,149.0432201,2008,J,J,34.2,2.9,Tympanocryptis lineata
AA24276,Tuggeranong,-35.43011532,149.0462476,2010,J,,NA,NA,Tympanocryptis lineata
AA24214,Tuggeranong,-35.45893484,149.0456257,2009,J,J,20.1,2.73,Tympanocryptis lineata
AA24173,Tuggeranong,-35.42967501,149.0365011,2008,J,J,26.5,3.31,Tympanocryptis lineata
AA24565,Googong,-35.45204142,149.2319513,2020,M?,SA,42.9,4.58,Tympanocryptis lineata
AA24174,Tuggeranong,-35.44829657,149.0552871,2008,J,J,22.3,3.42,Tympanocryptis lineata
AA24175,Gundaroo,-35.3406452,149.3380989,2008,NA,J,23.9,3.3,Tympanocryptis lineata
AA24215,Gundaroo,-35.31847789,149.3284409,2009,F,SA,40.2,3.81,Tympanocryptis lineata
AA24025,Tuggeranong,-35.43505764,149.0625219,2006,M,A,59,5.18,Tympanocryptis lineata
AA24130,Tuggeranong,-35.45056652,149.0546822,2007,J,SA,39.6,4.07,Tympanocryptis lineata
AA24216,Gundaroo,-35.31511006,149.34395,2009,M,SA,40.5,4.19,Tympanocryptis lineata
AA24217,Gundaroo,-35.32590639,149.3398339,2009,M,SA,43.9,4.33,Tympanocryptis lineata
AA24176,Tuggeranong,-35.42422915,149.0456887,2008,J,J,22.8,3.09,Tympanocryptis lineata
AA24218,Tuggeranong,-35.4474273,149.0409513,2009,M,A,75,4.86,Tympanocryptis lineata
AA24026,Tuggeranong,-35.46389465,149.0127164,2006,M,SA,38.1,3.72,Tympanocryptis lineata
AA24456,Gundaroo,-35.33316009,149.358514,2016,F,A,67,5.03,Tympanocryptis lineata
AA24219,Tuggeranong,-35.42615434,149.0421896,2009,M,A,70.3,6.02,Tympanocryptis lineata
AA24177,Tuggeranong,-35.44715342,149.0372943,2008,J,SA,45.6,3.77,Tympanocryptis lineata
AA24220,Gundaroo,-35.3305701,149.325026,2009,M,A,63.3,5.94,Tympanocryptis lineata
AA24345,Gundaroo,-35.31644783,149.3461124,2013,M,SA,39.5,3.27,Tympanocryptis lineata
AA24131,Tuggeranong,-35.45142436,149.0560439,2007,J,J,25.9,2.5,Tympanocryptis lineata
AA24566,Googong,-35.44173205,149.2404787,2020,F,A,71.3,4.7,Tympanocryptis lineata
AA24178,Tuggeranong,-35.45590785,149.0598652,2008,M,SA,45.7,4.65,Tympanocryptis lineata
AA24277,Gundaroo,-35.32876003,149.3405454,2010,NA,J,32.8,3.2,Tympanocryptis lineata
AA24516,Googong,-35.43149588,149.2282854,2018,,A,63.1,5.55,Tympanocryptis lineata
AA24179,Tuggeranong,-35.45233417,149.0297239,2008,F,SA,45.3,4.04,Tympanocryptis lineata
AA24027,Tuggeranong,-35.45322371,149.031056,2006,M,A,61.7,5.62,Tympanocryptis lineata
AA24517,Googong,-35.41485637,149.2295074,2018,,SA,41.4,4.42,Tympanocryptis lineata
AA24457,Gundaroo,-35.33693791,149.3360526,2016,M,A,80.3,5.84,Tympanocryptis lineata
AA24221,Gundaroo,-35.34245512,149.3402786,2009,F,A,77.9,5.21,Tympanocryptis lineata
AA24458,Gundaroo,-35.32083221,149.3455869,2016,u,J,26,2.34,Tympanocryptis lineata
AA24028,Tuggeranong,-35.4461049,149.052775,2006,F?,SA,43.6,4.26,Tympanocryptis lineata
AA24029,Tuggeranong,-35.44001824,149.0505149,2006,F?,SA,39.4,3.54,Tympanocryptis lineata
AA24030,Tuggeranong,-35.44568375,149.0478105,2006,F?,A,51.9,5.48,Tympanocryptis lineata
AA24180,Tuggeranong,-35.45167835,149.0533909,2008,J,J,34.1,3.55,Tympanocryptis lineata
AA24459,Tuggeranong,-35.43571075,149.0437311,2016,M,A,70.6,5.59,Tympanocryptis lineata
AA24222,Gundaroo,-35.31223897,149.3556945,2009,J,J,25.7,2.56,Tympanocryptis lineata
AA24518,Googong,-35.44760433,149.2334327,2018,M,SA,44.2,4.06,Tympanocryptis lineata
AA24031,Tuggeranong,-35.44267043,149.0382384,2006,F?,A,53.9,6.03,Tympanocryptis lineata
AA24032,Tuggeranong,-35.44367509,149.0170161,2006,F?,A,63.5,6.17,Tympanocryptis lineata
AA24567,Googong,-35.44496084,149.2378224,2020,F,SA,44.7,3.58,Tympanocryptis lineata
